family,category,pair_count,mean_accuracy_delta,mean_improvement_mass,mean_regression_mass
gemma,biology,6,0.261111,0.326852,0.065741
gemma,business,6,0.10195,0.192376,0.090425
gemma,chemistry,6,0.11755,0.177704,0.060154
gemma,computer science,6,0.099057,0.199685,0.100629
gemma,economics,6,0.200495,0.270627,0.070132
gemma,engineering,6,0.038153,0.12249,0.084337
gemma,health,6,0.100169,0.21128,0.111111
gemma,history,6,0.052188,0.1633,0.111111
gemma,law,6,0.064639,0.142585,0.077947
gemma,math,6,0.102488,0.176617,0.07413
gemma,other,6,0.105072,0.186957,0.081884
gemma,philosophy,6,0.067461,0.154762,0.087302
gemma,physics,6,0.114198,0.18107,0.066872
gemma,psychology,6,0.194984,0.265372,0.070388
qwen,biology,21,0.219577,0.315608,0.096032
qwen,business,21,0.240628,0.317123,0.076494
qwen,chemistry,21,0.184484,0.265847,0.081362
qwen,computer science,21,0.17071,0.277179,0.106469
qwen,economics,21,0.227723,0.31636,0.088637
qwen,engineering,21,0.080704,0.167336,0.086632
qwen,health,21,0.170274,0.262145,0.091871
qwen,history,21,0.092352,0.210678,0.118326
qwen,law,21,0.042006,0.152634,0.110628
qwen,math,21,0.220896,0.301635,0.080739
qwen,other,21,0.175155,0.264596,0.089441
qwen,philosophy,21,0.155707,0.250945,0.095238
qwen,physics,21,0.196943,0.275279,0.078336
qwen,psychology,21,0.19325,0.280166,0.086916
