model,family,n,captured_item_id,captured_category,captured_ground_truth,captured_raw_response,captured_saved_prediction,captured_gpu_worker_id,captured_hf_repo,captured_revision_hash,captured_prompt_template,captured_chat_template,captured_decoding_parameters,captured_runtime_versions,captured_run_date,metadata_completeness,notes
Gemma-2-2B-Instruct,gemma,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Gemma-3-1B-Instruct,gemma,3008,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Gemma-3-1B-it,gemma,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Gemma-3-270M-Instruct,gemma,3008,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Gemma-4-E2B-Instruct,gemma,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Llama-3.2-1B-Instruct,llama,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Phi-2,phi,3008,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen2-0.5B-Instruct,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen2.5-0.5B-Instruct,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen2.5-3B-Instruct,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen3-0.6B,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen3-4B-Instruct-2507,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen3.5-0.8B,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
Qwen3.5-2B,qwen,3008,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,incomplete,"Raw run rows did not preserve model repository, revision, prompt, decoding, package, or run-date metadata."
