family,extraction_method,audit_source,rows,completed_rows,completion_rate,high_risk_rows,completed_high_risk_rows
gemma,answer_is,stratified,12,0,0.0,0,0
gemma,correct_answer,stratified,12,0,0.0,0,0
gemma,empty,high_risk,1,0,0.0,1,0
gemma,empty,stratified,12,0,0.0,0,0
gemma,final_answer,stratified,12,0,0.0,0,0
gemma,last_standalone_letter,high_risk,9,0,0.0,9,0
gemma,last_standalone_letter,stratified,12,0,0.0,0,0
gemma,none,high_risk,1,0,0.0,1,0
gemma,none,stratified,12,0,0.0,0,0
gemma,option_is,stratified,12,0,0.0,0,0
gemma,prompt_echo_without_completion,high_risk,25,0,0.0,25,0
gemma,prompt_echo_without_completion,stratified,12,0,0.0,0,0
gemma,raw_prediction,high_risk,21,0,0.0,21,0
gemma,raw_prediction,stratified,12,0,0.0,0,0
gemma,single_letter,stratified,7,0,0.0,0,0
gemma,tail_option,high_risk,4,0,0.0,4,0
gemma,tail_option,stratified,12,0,0.0,0,0
llama,answer_is,stratified,12,0,0.0,0,0
llama,correct_answer,stratified,12,0,0.0,0,0
llama,final_answer,stratified,12,0,0.0,0,0
llama,last_standalone_letter,stratified,12,0,0.0,0,0
llama,none,stratified,12,0,0.0,0,0
llama,option_is,stratified,12,0,0.0,0,0
llama,tail_option,stratified,12,0,0.0,0,0
phi,empty,high_risk,2,0,0.0,2,0
phi,empty,stratified,12,0,0.0,0,0
phi,none,stratified,12,0,0.0,0,0
phi,raw_prediction,high_risk,16,0,0.0,16,0
phi,raw_prediction,stratified,12,0,0.0,0,0
qwen,answer_is,stratified,12,0,0.0,0,0
qwen,correct_answer,stratified,12,0,0.0,0,0
qwen,final_answer,stratified,12,0,0.0,0,0
qwen,last_standalone_letter,high_risk,27,0,0.0,27,0
qwen,last_standalone_letter,stratified,12,0,0.0,0,0
qwen,none,stratified,12,0,0.0,0,0
qwen,option_is,stratified,12,0,0.0,0,0
qwen,single_letter,stratified,1,0,0.0,0,0
qwen,tail_option,high_risk,14,0,0.0,14,0
qwen,tail_option,stratified,12,0,0.0,0,0
