family,extraction_method,audit_source,selected_rows
gemma,answer_is,stratified,2
gemma,correct_answer,stratified,2
gemma,empty,high_risk,1
gemma,empty,stratified,2
gemma,final_answer,stratified,2
gemma,last_standalone_letter,high_risk,7
gemma,last_standalone_letter,stratified,2
gemma,none,high_risk,1
gemma,none,stratified,2
gemma,option_is,stratified,2
gemma,prompt_echo_without_completion,high_risk,12
gemma,prompt_echo_without_completion,stratified,2
gemma,raw_prediction,high_risk,10
gemma,raw_prediction,stratified,2
gemma,single_letter,stratified,2
gemma,tail_option,high_risk,3
gemma,tail_option,stratified,1
llama,answer_is,stratified,1
llama,correct_answer,stratified,1
llama,final_answer,stratified,1
llama,last_standalone_letter,stratified,1
llama,none,stratified,1
llama,option_is,stratified,1
llama,tail_option,stratified,1
phi,empty,high_risk,2
phi,empty,stratified,1
phi,none,stratified,1
phi,raw_prediction,high_risk,8
phi,raw_prediction,stratified,1
qwen,answer_is,stratified,1
qwen,correct_answer,stratified,1
qwen,final_answer,stratified,1
qwen,last_standalone_letter,high_risk,10
qwen,last_standalone_letter,stratified,1
qwen,none,stratified,1
qwen,option_is,stratified,1
qwen,single_letter,stratified,1
qwen,tail_option,high_risk,7
qwen,tail_option,stratified,1
