model,family,generation,parameter_b,boundary_role,n,correct,accuracy,ci95_low,ci95_high,answered_rate,parse_failure_rate,mean_response_chars,p95_response_chars
Qwen3-4B-Instruct-2507,qwen,qwen3,4.0,boundary_4b,3008,1451,0.48238,0.464557,0.500248,0.999668,0.000332,3211.95,4868.0
Qwen3.5-2B,qwen,qwen3.5,2.0,strict_sub_4b,3008,1411,0.469082,0.451299,0.486944,0.998005,0.001995,2841.248,4639.0
Qwen2.5-3B-Instruct,qwen,qwen2.5,3.0,strict_sub_4b,3008,1330,0.442154,0.424491,0.459965,0.996676,0.003324,2231.52,3505.65
Qwen3.5-0.8B,qwen,qwen3.5,0.8,strict_sub_4b,3008,994,0.330452,0.313868,0.347469,0.996343,0.003657,2874.91,4545.3
Gemma-2-2B-Instruct,gemma,gemma2,2.0,strict_sub_4b,3008,953,0.316822,0.300439,0.333672,0.994016,0.005984,1868.353,3260.65
Qwen3-0.6B,qwen,qwen3,0.6,strict_sub_4b,3008,842,0.27992,0.264165,0.296237,1.0,0.0,3811.493,5049.0
Llama-3.2-1B-Instruct,llama,llama3.2,1.0,strict_sub_4b,3008,637,0.211769,0.19754,0.226732,0.981715,0.018285,1888.443,3300.3
Gemma-3-1B-it,gemma,gemma3,1.0,strict_sub_4b,3008,527,0.175199,0.162031,0.189196,0.981383,0.018617,2052.525,3381.0
Qwen2.5-0.5B-Instruct,qwen,qwen2.5,0.5,strict_sub_4b,3008,495,0.164561,0.15174,0.178238,0.993351,0.006649,2173.743,3541.95
Qwen2-0.5B-Instruct,qwen,qwen2,0.5,strict_sub_4b,3008,391,0.129987,0.118439,0.142478,0.986702,0.013298,1139.868,2719.25
Phi-2,phi,phi2,2.7,strict_sub_4b,3008,355,0.118019,0.106973,0.130038,0.90758,0.09242,1525.945,3520.25
Gemma-3-1B-Instruct,gemma,gemma3,1.0,strict_sub_4b,3008,354,0.117686,0.106655,0.129692,0.991024,0.008976,1382.343,2689.95
Gemma-3-270M-Instruct,gemma,gemma3,0.27,strict_sub_4b,3008,314,0.104388,0.093961,0.115824,0.955452,0.044548,601.927,1833.95
Gemma-4-E2B-Instruct,gemma,gemma4,2.0,strict_sub_4b,3008,55,0.018285,0.014075,0.023723,0.051862,0.948138,560.903,1910.85
