category,n,correct,accuracy,answered_rate,parse_failure_rate,mean_response_chars
biology,180,59,0.327778,1.0,0.0,2317.2
business,188,29,0.154255,0.941489,0.058511,1578.282
chemistry,302,34,0.112583,0.990066,0.009934,1767.47
computer science,106,22,0.207547,0.990566,0.009434,1842.604
economics,202,56,0.277228,1.0,0.0,2221.728
engineering,249,28,0.11245,0.983936,0.016064,2013.422
health,198,36,0.181818,1.0,0.0,2240.879
history,99,20,0.20202,1.0,0.0,2362.525
law,263,36,0.136882,1.0,0.0,2957.03
math,335,45,0.134328,0.901493,0.098507,1637.221
other,230,48,0.208696,0.991304,0.008696,1649.174
philosophy,126,20,0.15873,1.0,0.0,2212.262
physics,324,39,0.12037,0.993827,0.006173,1861.259
psychology,206,55,0.26699,1.0,0.0,2505.359
